시설형태,설치 위치,위도,경도,데이터기준일
개방형,서울특별시 용산구 서울역 광장 15번출구,37.553149,126.968881,
개방형,서울특별시 용산구 서울역 광장 1번출구,37.55376,126.969662,
개방형,서울특별시 용산구 용산역 광장,37.528404,126.965569,
개방형,서울특별시 용산구 용산구청 옥상,37.532709,126.99,
개방형,서울특별시 용산구 용산구청 2층 외부,37.532709,126.99,
개방형,서울특별시 용산구 용산경찰서 1층 외부,37.541169,126.96765,
개방형,서울특별시 용산구 원효지구대 방범순찰대(옛 용산구청),37.538716,126.96589,
개방형,서울특별시 용산구 서울지방보훈청 실외,37.534923,126.974192,
개방형,서울특별시 용산구 용산세무서 1층 외부,37.523302,126.96868,
개방형,서울특별시 용산구 국방부 컨벤스 1층 외부,37.533237,126.97859,
개방형,서울특별시 용산구 순천향대학교 서울병원 장례식장 외부,37.534466,127.004585,
개방형,서울특별시 용산구 순천향대학교 서울병원 신관 옥상,37.534009,127.004334,
개방형,서울특별시 용산구 1층 외부 주차장 가는길 휴식장소,37.539372,126.997264,
개방형,서울특별시 용산구 아이파크몰 달 주차장 4.5층,37.529492,126.964318,
개방형,서울특별시 용산구 아이파크몰 해 주차장 4.5층,37.529492,126.964318,
개방형,서울특별시 용산구 아이파크몰 8층 옥상,37.529492,126.964318,
개방형,서울특별시 용산구 선인상가 21동 1층 외부,37.533068,126.963521,
개방형,서울특별시 용산구 선인상가 21동 옥상,37.533068,126.963521,
개방형,서울특별시 용산구 1층 공유지,37.533417,126.96736,
개방형,서울특별시 용산구 주차장 지하 1층,37.532818,126.958895,
개방형,서울특별시 용산구 아모레퍼시픽 10층 테라스,37.52911,126.968532,
개방형,서울특별시 용산구 제일기획 1층 외부 주차장,37.535103,126.998616,
개방형,서울특별시 용산구 건물 옥상,37.536678,126.961147,
개방형,서울특별시 용산구 충영빌딩 옥상,37.538329,126.959979,
개방형,"서울특별시 용산구 e테크밸리 공개공지, 옥상",37.533234,126.957656,
개방형,서울특별시 용산구 삼원빌딩 옥상,37.534626,126.959002,
개방형,서울특별시 용산구 대교빌딩 옥상,37.533918,126.95763,
개방형,서울특별시 용산구 현대자동차사옥 옥상,37.531999,126.953751,
개방형,서울특별시 용산구 진성빌딩 옥상,37.53461,126.966177,
개방형,서울특별시 용산구 미성상사㈜ 1층 외부,37.538839,126.968402,
개방형,서울특별시 용산구 미성상사 공장 옥상,37.538839,126.968402,
개방형,서울특별시 용산구 조양빌딩 옥상,37.536223,126.963549,
개방형,서울특별시 용산구 하나실업빌딩 옥상,37.534709,126.960734,
개방형,서울특별시 용산구 오리온제과 옥상,37.535767,126.969873,
개방형,"서울특별시 용산구 오리온제과 공장 옥상, 주차장",37.536202,126.969268,
개방형,"서울특별시 용산구 우경빌딩 옥상, 1층 외부",37.534231,126.961404,
개방형,서울특별시 용산구 POBA 지방행정공제회 건물 1층 주차장,37.531685,126.970651,
개방형,서울특별시 용산구 넥서스밸리 1층 외부,37.534144,126.964859,
개방형,서울특별시 용산구 GS한강에끌라트 1층 외부,37.531399,126.955431,
개방형,서울특별시 용산구 한강그랜드오피스 주차장 옆,37.531222,126.955055,
개방형,"서울특별시 용산구 용산전자오피스텔 옥상, 건물옆",37.532207,126.956792,
개방형,서울특별시 용산구 NH농협은행 용산별관(하나로마트) 옥상,37.533197,126.964645,
개방형,"서울특별시 용산구 대우아이빌 16층 옥상, 1층 외부",37.531695,126.968805,
개방형,서울특별시 용산구 유베이스 1층 외부,37.538001,126.967147,
개방형,서울특별시 용산구 대원빌딩 1층 현관옆,37.535201,126.963618,
개방형,서울특별시 용산구 기독교대한감리회여선교회관 1층 외부,37.535109,127.011499,
